ID,Player,Team,Position,RkOv,Status,Age,Opponent,Salary,Score,Ros,+/-
*02b70*,Nikita Kucherov,TBL,RW,21,Arizona Coyotes - Yotes,33,,"9,500,000",85.34,99%,0%
*02nok*,Tomas Hertl,VGK,"C,LW",38,Arizona Coyotes - Yotes,32,CHI Tue 10:30PM,"8,137,500",80.86,94%,0%
*05xct*,Jet Greaves,CBJ,G,42,Arizona Coyotes - Yotes,25,,"5,000,000",80.24,97%,0%
*02fzm*,Filip Forsberg,NSH,LW,43,Arizona Coyotes - Yotes,32,,"8,500,000",80.23,99%,0%
*03ynu*,Carter Hart,VGK,G,58,Arizona Coyotes - Yotes,28,CHI Tue 10:30PM,"2,000,000",76.89,86%,-1%
*03e1n*,Adrian Kempe,LAK,RW,72,Arizona Coyotes - Yotes,29,,"10,625,000",75.83,99%,0%
*0579x*,Adam Fantilli,CBJ,C,74,Arizona Coyotes - Yotes,21,,"950,000",75.57,99%,0%
*03kra*,Kyle Connor,WPG,LW,87,Arizona Coyotes - Yotes,29,,"8,000,000",74.04,99%,0%
*03e1m*,Brayden Point,TBL,C,167,Arizona Coyotes - Yotes,30,,"9,500,000",64.26,98%,0%
*05ltj*,Brock Faber,MIN,D,194,Arizona Coyotes - Yotes,24,,"8,500,000",61.32,99%,0%
*01ex7*,Matt Duchene,DAL,"C,RW",206,Arizona Coyotes - Yotes,35,,"4,500,000",59.92,81%,-1%
*031nw*,Michael McCarron,MIN,C,227,Arizona Coyotes - Yotes,31,,"3,000,000",58.03,24%,-1%
*04yu5*,Thomas Harley,DAL,D,266,Arizona Coyotes - Yotes,25,,"10,587,000",54.93,97%,0%
*06iml*,Maxim Tsyplakov,CGY,LW,289,Arizona Coyotes - Yotes,27,,"2,250,000",53.1,30%,0%
*04osu*,Barrett Hayton,UTA,C,295,Arizona Coyotes - Yotes,26,,"4,775,000",52.71,40%,-1%
*0644f*,Ryan Leonard,WSH,RW,315,Arizona Coyotes - Yotes,21,,"950,000",51.42,92%,-1%
*04zj5*,JJ Peterka,BOS,"LW,RW",331,Arizona Coyotes - Yotes,24,NYR Tue 8:00PM,"7,700,000",50.81,93%,0%
*02zpp*,Viktor Arvidsson,DET,"LW,RW",333,Arizona Coyotes - Yotes,33,,"5,000,000",50.57,67%,-1%
*01mzc*,Brayden McNabb,VGK,D,346,Arizona Coyotes - Yotes,35,CHI Tue 10:30PM,"3,650,000",49.87,36%,0%
*01yj6*,Radko Gudas,FLA,D,427,Arizona Coyotes - Yotes,36,@CAR Tue 5:00PM,"1,500,000",45.72,43%,-2%
*04lcr*,Zach Whitecloud,CGY,D,449,Arizona Coyotes - Yotes,29,,"2,750,000",44.69,24%,-1%
*06axe*,Gabe Perreault,NYR,"LW,RW",473,Arizona Coyotes - Yotes,21,@BOS Tue 8:00PM,"941,667",43.28,87%,-2%
*0644e*,Oliver Moore,CHI,"C,LW",532,Arizona Coyotes - Yotes,21,@VGK Tue 10:30PM,"941,667",41.05,66%,-3%
*042xx*,Beck Malenstyn,BUF,"LW,RW",565,Arizona Coyotes - Yotes,28,,"2,916,700",39.27,19%,-1%
*060on*,Adam Sykora,NYR,"LW,RW",668,Arizona Coyotes - Yotes,21,@BOS Tue 8:00PM,"870,000",33.92,34%,-1%
*05ub3*,Tyson Hinds,ANA,D,671,Arizona Coyotes - Yotes,23,,"900,000",33.86,21%,-1%
*05td4*,Ryan Ufko,NSH,D,779,Arizona Coyotes - Yotes,23,,"925,000",25.89,60%,-2%
*05ymn*,Maveric Lamoureux,UTA,D,861,Arizona Coyotes - Yotes,22,,"950,000",21.2,48%,-1%
*06pyp*,Radim Mrtka,BUF,D,903,Arizona Coyotes - Yotes,19,,"974,167",19.25,69%,-3%
*06sqf*,Braeden Cootes,VAN,C,957,Arizona Coyotes - Yotes,19,@EDM Tue 10:00PM,"975,000",16.72,65%,-2%
*06lok*,Viggo Bjorck,WPG,C,1590,Arizona Coyotes - Yotes,18,,"1,075,000",0,78%,-2%
*06lor*,Sascha Boumedienne,WPG,D,1703,Arizona Coyotes - Yotes,19,,"950,000",0,46%,-2%
*06cfb*,Charlie Cerrato,CAR,LW,2077,Arizona Coyotes - Yotes,21,FLA Tue 5:00PM,"915,000",0,31%,-1%
*075u7*,Alexander Command,NJD,C,2230,Arizona Coyotes - Yotes,18,,"950,000",0,64%,-2%
*062dy*,Andrew Cristall,WSH,LW,2337,Arizona Coyotes - Yotes,21,,"905,000",0,69%,-3%
*071wo*,Axel Elofsson,COL,D,2778,Arizona Coyotes - Yotes,18,,"950,000",0,28%,-2%
*0760v*,William Hakansson,CAR,D,3516,Arizona Coyotes - Yotes,18,FLA Tue 5:00PM,"996,000",0,22%,-1%
*071wk*,Elton Hermansson,LAK,RW,3708,Arizona Coyotes - Yotes,18,,"1,075,000",0,60%,-2%
*06axx*,William Horcoff,PIT,C,3831,Arizona Coyotes - Yotes,19,,"950,000",0,56%,-2%
*06mgy*,Tomas Lavoie,UTA,D,4802,Arizona Coyotes - Yotes,20,,"872,500",0,14%,0%
*06r61*,Ilia Morozov,BUF,LW,5703,Arizona Coyotes - Yotes,18,,"950,000",0,48%,-2%
*0760i*,Casey Mutryn,SEA,RW,5799,Arizona Coyotes - Yotes,18,,"950,000",0,31%,-2%
*06r60*,Adam Novotny,VAN,LW,5984,Arizona Coyotes - Yotes,18,@EDM Tue 10:00PM,"1,075,000",0,57%,-2%
